Unnamed: 0,State,DISTRICT,STATION,Turbidity,pH,Color,DO,BOD,TDS,Hardness,Cl,No3,So4,Coliform,As,F
105,ASSAM,HAILAKANDI,MATIJURI,17.01499097748317,6.94916666666667,,6.703154676138132,2.6815519541519084,91.1666666666667,82.7736416666667,13.416666666666698,0.07788076145771602,1.20166666666667,28662.758076799753,3.6826225806451607,0.3672985530539035
106,"""UTTAR PRADESH""",MATHURA,"""Mathura (Gokul Barrage)""",17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
107,UTTARAKHAND,RUDRAPRAYAG,"""AUGUSTMUNI D/S""",17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
108,JHARKHAND,DUMKA,Maharo,17.01499097748317,8.03333333333333,,6.703154676138132,2.6815519541519084,220.23367054827756,120.615,17.8683333333333,0.07788076145771602,2.24,28662.758076799753,3.6826225806451607,0.3672985530539035
109,ASSAM,DIBRUGARH,"""Chenimari (Khowang)""",17.01499097748317,7.35,,8.7,2.6815519541519084,59.0,92.6458,6.8125,0.07788076145771602,1.2575,28662.758076799753,3.6826225806451607,0.3672985530539035
110,TELANGANA,MAHBUBNAGAR,"""K. Agraharam""",17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
111,ODISHA,RAYAGADA,Gunupur,17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
112,KARNATAKA,"""DAKSHINA KANNADA""",BANTWAL,17.01499097748317,7.018,,6.364,1.074,220.23367054827756,19.315,5.4670000000000005,0.005520000000000001,2.2848,28662.758076799753,2.48,0.1824
113,ASSAM,SIVASAGAR,Nanglamoraghat,17.01499097748317,7.42875,,6.703154676138132,2.6815519541519084,73.75,90.0457125,9.25,0.07788076145771602,1.2425,28662.758076799753,3.6826225806451607,0.3672985530539035
114,UTTARAKHAND,HARDWAR,Haridwar,17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
115,KERALA,ERNAKULAM,RAMAMANGALAM,17.01499097748317,6.95666666666667,,6.35,0.4566666666666671,38.3333333333333,20.0277833333333,8.51666666666667,0.030166666666667005,0.9,1460.0,2.975,0.20716666666666697
116,ASSAM,BAKSA,Suklai,32.65,6.915,,6.703154676138132,2.6815519541519084,131.5,116.1085,12.0,0.0,1.13,28662.758076799753,3.6826225806451607,0.3672985530539035
