Unnamed: 0,State,DISTRICT,STATION,Turbidity,pH,Color,DO,BOD,TDS,Hardness,Cl,No3,So4,Coliform,As,F
35,ASSAM,KAMRUP,KULSI,6.7775,6.5575,,2.5,2.6815519541519084,25.5,68.79375,11.25,0.0,1.17,28662.758076799753,3.6826225806451607,0.3672985530539035
36,JHARKHAND,HAZARIBAGH,Hendegir,17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,164.300666666667,18.446666666666697,0.07788076145771602,19.52,28662.758076799753,3.6826225806451607,0.3672985530539035
37,"""WEST BENGAL""",BARDDHAMAN,"""KALNA (flow)""",17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,184.284090909091,16.6533333333333,0.07788076145771602,12.6225,28662.758076799753,3.6826225806451607,0.3672985530539035
38,MAHARASHTRA,PARBHANI,G.R.BRIDGE,17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
39,UTTARAKHAND,CHAMOLI,"""Karnprayag U/S""",17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
40,"""UTTAR PRADESH""",PRAYAGRAJ,ALLAHABAD,0.475,8.085,,7.24666666666667,3.1083333333333303,228.75,173.97291666666698,59.3333333333333,0.0,40.0,6558.33333333333,1.0,0.4611666666666671
41,BIHAR,BUXAR,Buxar,17.01499097748317,8.22636363636364,,6.46227272727273,2.25381818181818,273.318181818182,185.35713636363602,35.3454545454545,0.07788076145771602,5.5,28662.758076799753,3.6826225806451607,0.3672985530539035
42,MAHARASHTRA,NAGPUR,Satrapur/K.R.Bridge,3.4583333333333304,7.98833333333333,,7.43333333333333,1.85833333333333,220.23367054827756,231.44158333333303,29.7541666666667,0.008675,22.31,33402.5,4.77823333333333,0.568416666666667
43,MAHARASHTRA,SATARA,Karad,17.01499097748317,7.2,,6.3,1.75,220.23367054827756,64.4935,8.24,0.001973685,11.95,49000.0,2.31,0.3075
44,"""ARUNACHAL PRADESH""","""EAST SIANG""",Passighat,17.01499097748317,7.6275,,6.703154676138132,2.6815519541519084,75.0,69.28125,5.5,0.07788076145771602,1.175,28662.758076799753,3.6826225806451607,0.3672985530539035
45,"""UTTAR PRADESH""",RAMPUR,Rampur,17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
46,"""UTTAR PRADESH""",GORAKHPUR,Birdghat,17.01499097748317,8.23,,6.81416666666667,1.22333333333333,239.666666666667,166.656333333333,17.04,0.2852,19.28,28662.758076799753,3.6826225806451607,0.18683333333333302
47,"""UTTAR PRADESH""",MEERUT,Galeta,17.01499097748317,7.74166666666667,,0.953333333333333,85.4333333333333,693.333333333333,335.168833333333,117.974166666667,0.07788076145771602,88.1833333333333,28662.758076799753,3.6826225806451607,0.615833333333333
48,"""MADHYA PRADESH""",BURHANPUR,BURHANPUR,3.0833333333333304,8.1325,,6.84,1.8125,352.833333333333,110.226416666667,76.8333333333333,0.056666666666667,11.183333333333302,4000.0,3.6826225806451607,0.163333333333333
