Ind,State,DISTRICT,STATION,Turbidity,pH,Color,DO,BOD,TDS,Hardness,Cl,No3,So4,Coliform,As,F,lats,longs
339,BIHAR,PATNA,Hathidah,,,,,,,,,,,,,,25.3659157,85.9873536
340,MAHARASHTRA,NANDED,Betmogra,,,,,,,,,,,,,,18.7086278,77.5366935
341,TELANGANA,ADILABAD,Bhatpalli,1.8833333333333302,8.28333333333334,,7.2166666666666694,2.3,,247.390833333333,28.9325,0.026591666666667006,14.815833333333302,27062.5,3.6933333333333302,0.710666666666667,72.0,18.0
342,MAHARASHTRA,SANGLI,"""Samdoli (Seasonal)""",,,,,,,,,,,,,,72.0,18.0
343,"""UTTAR PRADESH""",HAMIRPUR,SHAHIJINA,,8.2125,,,,,144.12029166666701,18.696666666666697,0.03335,7.76,,,0.43225,72.0,18.0
344,KARNATAKA,UDUPI,HALADI,,6.67833333333333,,6.65666666666667,0.808333333333333,,10.0541666666667,3.7866666666666697,0.0023,1.848,,2.855,0.069666666666667,13.5790156,74.863091
345,TRIPURA,"""NORTH TRIPURA""",Kailashahar,,,,,,,,,,,,,,24.3194297,91.9984289
346,"""MADHYA PRADESH""",DATIA,SEONDHA,,8.3675,,,,,161.100583333333,23.6075,0.0345,9.32,,,0.9864166666666658,26.1537145,78.7819374
347,TAMILNADU,KARUR,NALLAMARANPATTY,,7.95,,8.8,4.3,,94.9917,20.15,,14.29,,,0.322,72.0,18.0
348,"""ANDHRA PRADESH""",KRISHNA,"""Paleru Bridge""",2.86888888888889,7.83333333333333,,5.22222222222222,1.4,475.55555555555605,252.342555555556,70.01111111111109,0.0,54.3333333333333,3612.2222222222204,0.605,0.9344444444444441,13.1998969,78.892727
349,UTTARAKHAND,GARHWAL,"""SATPULI D/S""",,,,,,,,,,,,,,29.88589965,78.76507377677129
350,ASSAM,SONITPUR,Tezpur,,7.6425,,,,73.5,81.103225,7.5,,1.1825,,,,26.61695705,92.76500717365028
351,ASSAM,DIBRUGARH,Dillighat,,7.375,,,,83.5,88.430075,6.3125,,1.165,,,,72.0,18.0
352,KARNATAKA,"""UTTARA KANNADA""",SANTEGULI,,6.77666666666667,,,,,18.4333333333333,5.97583333333333,0.023,2.472,,4.515,0.0665,14.4260834,74.5799483
353,"""ANDHRA PRADESH""",GUNTUR,Wadenepally,2.6675,8.15,,6.50833333333333,0.983333333333333,366.0,157.090358333333,54.133333333333304,0.0,60.55,1970.83333333333,3.1096,0.5775,72.0,18.0
354,ASSAM,SONITPUR,Bhalukpong,,7.29125,,,,49.25,77.1341625,10.875,,1.205,,,,27.0137235,92.6358068
355,ASSAM,NALBARI,"""Pagladiya N T Road Crossing""",7.13,7.16,,,,137.5,150.496,11.0,0.0,1.205,,,,72.0,18.0
356,"""UTTAR PRADESH""",VARANASI,Baluaghat,,,,,,,,,,,,,,25.3901519,87.8397918
357,MAHARASHTRA,AHMADNAGAR,Kopergaon,,,,,,,,,,,,,,72.0,18.0
358,GUJARAT,RAJKOT,Ganod,19.4,8.517999999999999,,8.46,1.92,647.2,275.8766,212.0,0.066,21.308000000000003,146337.0,,0.7759999999999999,32.7338264,76.1292243
359,KERALA,KOLLAM,PATTAZHY,,6.8,,6.36666666666667,0.638333333333333,29.5,18.1736166666667,7.7166666666666694,0.0165,0.916666666666667,1180.0,3.165,0.19016666666666698,9.0803412,76.7961666
360,TAMILNADU,NAGAPPATTINAM,Gopurajapuram,,7.53,,,1.64,106.0,83.7833,25.52,,8.17,,,0.29,72.0,18.0
361,"""UTTAR PRADESH""",LALITPUR,RAJGHAT,,8.35,,,,,135.6849,16.537083333333303,0.0368,5.8,,,0.28975,28.6406036,77.2495084
362,MAHARASHTRA,CHANDRAPUR,"""Bamni (Balharsha)""",4.175,8.1825,,5.73333333333333,9.45833333333333,,265.910416666667,49.374166666666696,0.097641666666667,27.4641666666667,30508.3333333333,2.02666666666667,0.588583333333333,19.8496101,79.3480779
363,KERALA,PATHANAMTHITTA,KALLOOPPARA,,6.695,,6.5333333333333306,0.868333333333333,40.0,20.0347166666667,9.33333333333333,0.010166666666667,1.4,1320.0,3.73,0.129016666666667,9.4128918,76.6426109
364,ASSAM,GOALPARA,DUDHNAI,11.5725,6.95,,7.4,,54.0,74.177025,17.0,0.0,1.2125,,,,25.98202335,90.8164062850866
365,"""UTTAR PRADESH""",VARANASI,"""V S Bridge""",,,,,,,,,,,,,,55.9488095,-3.186909
366,PONDICHERRY,PUDUCHERRY,Kumarapalayam,,,,,,,,,,,,,,11.38825245,77.77783762066991
367,KERALA,PALAKKAD,PUDUR,,7.45,,5.23333333333333,1.62833333333333,282.16666666666697,160.083283333333,28.033333333333303,0.08916666666666699,22.466666666666697,1460.0,3.245,0.713,18.6245534,78.9541901
368,ODISHA,SUNDARGARH,Jarikela,,7.7166666666666694,,6.585,0.5133333333333329,,77.6945666666667,14.166666666666698,0.0,11.6333333333333,,,0.05,72.0,18.0
369,ASSAM,SONITPUR,Bhomoraguri,,,,,,,,,,,,,,72.0,18.0
370,MAHARASHTRA,THANE,DURVESH,2.2,8.168,,9.1,2.0,387.8,122.7432,99.0,0.073333333333333,13.92,5000.0,,0.2,72.0,18.0
371,JHARKHAND,PALAMU,Japla,,8.22,,,,183.56666666666698,161.033333333333,20.6666666666667,,10.1,,,,24.5306951,83.9998299
372,TAMILNADU,VILUPPURAM,Vazhavachanur,,7.926666666666669,,6.1985,1.735,464.0,227.39833333333303,140.803333333333,,86.0683333333333,,,0.5158333333333329,72.0,18.0
373,ASSAM,KARIMGANJ,ANIPUR,,,,,,,,,,,,,,24.5493882,92.4282852
374,KERALA,MALAPPURAM,KUMBIDI,,6.855,,6.5333333333333306,1.02,75.0,39.2083333333333,11.816666666666698,0.071333333333333,1.4166666666666698,1460.0,3.465,0.728833333333333,10.8314998,76.0497854
375,ASSAM,GOALPARA,PANCHARATNA,17.9325,7.3925,,5.63333333333333,,106.0,96.7585,12.5,0.0,1.2,,,,26.1558824,90.5479657
376,UTTARAKHAND,DEHRADUN,"""HARIDWAR D/S""",,,,,,,,,,,,,,29.7898161,77.9431728
377,BIHAR,,Triveni,,7.95166666666667,,6.79766666666667,2.0675,210.166666666667,218.4195,26.6666666666667,,13.0,,,,29.224588949999998,81.99410694614244
378,TAMILNADU,ERODE,ELUNUTHIMANGALAM,,8.6225,,5.85,3.75,,404.35,412.49,,115.3125,,,0.909,10.0422174,79.0267275
379,"""UTTAR PRADESH""","""SIDDHARTH NAGAR""",Biskohar,,,,,,,,,,,,,,72.0,18.0
380,GUJARAT,ANAND,Khanpur,28.6666666666667,8.38166666666667,,8.25,1.4166666666666698,267.33333333333303,173.48825,31.3333333333333,0.04,14.374166666666698,166931.42857142902,,0.585,25.851055549999998,85.94084326226093
381,BIHAR,BHOJPUR,Koelwar,,8.31666666666667,,,,148.766666666667,126.58905,32.6666666666667,,6.5,,,,25.5693726,84.7927554
382,KARNATAKA,RAICHUR,Huvinhedigi,8.20909090909091,8.25454545454545,,6.37272727272727,1.05454545454545,480.181818181818,219.59099999999998,66.8545454545454,6.36363636363636e-05,93.2272727272727,4804.54545454546,2.3648333333333302,0.8009090909090909,72.0,18.0
383,"""UTTAR PRADESH""",KHERI,Paliakalan,,8.36333333333333,,6.95583333333333,0.899166666666667,201.166666666667,161.28175,14.0225,0.21045,17.56,,,0.18525,72.0,18.0
384,"""MADHYA PRADESH""",RATLAM,Mataji,11.166666666666698,8.11333333333333,,8.45,2.93333333333333,219.0,162.11666666666702,22.3333333333333,0.031666666666667,9.93333333333333,164334.666666667,,0.5183333333333329,25.0258772,73.9073288
385,"""MADHYA PRADESH""",CHHINDWARA,Ramakona,,,,,,,,,,,,,,72.0,18.0
386,"""UTTAR PRADESH""",JAUNPUR,JAUNPUR,,,,,,,,,,,,,,25.7955927,82.48834097504385
387,TAMILNADU,COIMBATORE,Gandhavayal,,,,,,,,,,,,,,72.0,18.0
388,"""UTTAR PRADESH""",HAMIRPUR,HAMIRPUR,,8.228333333333339,,,,,190.75991666666698,67.9825,0.1311,42.68,,,0.3910833333333329,25.75,80.0
389,TAMILNADU,THOOTHUKKUDI,MURAPPANADU,,7.43,,5.74166666666667,0.875,77.6,61.3631916666667,18.7158333333333,,5.31833333333333,,1.815,0.1565,72.0,18.0
390,"""MADHYA PRADESH""","""WEST NIMAR""",Mandleshwar,40.5083333333333,8.10083333333333,,6.49166666666667,0.908333333333333,146.083333333333,117.383916666667,14.558333333333302,0.029833333333332993,8.73416666666667,,,0.18508333333333302,22.3858844,75.7385903
391,"""MADHYA PRADESH""",DINDORI,Dindori,83.3416666666667,7.83666666666667,,5.58333333333333,1.53333333333333,143.583333333333,122.61516666666701,9.53333333333333,0.110583333333333,10.3666666666667,,,0.20025,20.25527235,73.80730056332233
392,TRIPURA,"""NORTH TRIPURA""","""KAILASHAHAR GDSQ SITE""",,,,,,,,,,,,,,72.0,18.0
393,BIHAR,KATIHAR,LABHA,,,,,,,202.18875,15.9425,,16.76,,,,25.4457548,87.7547979
394,KERALA,KOZHIKODE,KUTTYADI,,6.91,,7.01666666666667,0.50351,17.8333333333333,13.0139,4.4666666666666694,0.0,0.716666666666667,1240.0,4.565,0.0527,11.608994,75.8099562
395,KARNATAKA,GULBARGA,Malkhed,4.35666666666667,8.16666666666667,,6.0333333333333306,0.883333333333333,394.666666666667,182.777833333333,29.35,0.0,17.516666666666698,2966.6666666666697,4.69305,0.706666666666667,20.8222351,77.8650132
396,"""ARUNACHAL PRADESH""","""UPPER SUBANSIRI""",Daporizo,,7.8,,,,73.75,60.5,1.75,,,,,,72.0,18.0
