Ind,State,DISTRICT,STATION,Turbidity,pH,Color,DO,BOD,TDS,Hardness,Cl,No3,So4,Coliform,As,F
298,CHHATTISGARH,RAIGARH,Kurubhata,,8.26083333333333,,7.38333333333333,0.475,,74.3146416666667,13.5833333333333,,,,,
299,"""MADHYA PRADESH""",HOSHANGABAD,Chhidgaon,75.175,8.07416666666667,,6.70833333333333,1.06666666666667,236.166666666667,167.151308333333,10.5,0.033083333333333,10.7333333333333,,,0.226333333333333
300,ODISHA,SUNDARGARH,Sundergarh,,8.18818181818182,,7.39090909090909,0.736363636363636,,81.9674363636364,13.9090909090909,,,,,
301,TELANGANA,KHAMMAM,Konta,15.3625,7.85833333333333,,6.70833333333333,0.641666666666667,92.1666666666667,61.375,3.64166666666667,0,11.525,4880,2.7859,0.15
302,TAMILNADU,KANNIYAKUMARI,KUZHITHURAI,,7.11166666666667,,,,219.833333333333,56.1110666666667,53.8666666666667,0.0555,14.3666666666667,,3.84,0.970166666666667
303,"""MADHYA PRADESH""",HOSHANGABAD,Sandia,118.508333333333,8.09083333333333,,6.64166666666667,0.691666666666667,153.166666666667,122.724941666667,8.325,0.027,6.71333333333333,,,0.19375
304,RAJASTHAN,KOTA,Sangod,,,,,,,,,,,,,
305,KARNATAKA,BELLARY,"""T. Ramapuram""",17.55,8.2,,6.5,1.2,944,219.542,184,0,178,16000,,0.77
306,"""UTTAR PRADESH""",SHRAWASTI,Bhinga,,,,,,,,,,,,,
307,JHARKHAND,"""PURBI SINGHBHUM""",Jamshedpur,,7.54166666666667,,5.9325,1.1925,,99.2361166666667,32.5166666666667,0.02185,46.4166666666667,,,0.05
308,KERALA,MALAPPURAM,KARATHODU,,6.83,,6.18333333333333,0.646666666666667,56.1666666666667,28.0486,11.5666666666667,0.011166666666667,0.966666666666666,1210,4.525,0.286166666666667
309,TELANGANA,NALGONDA,Gandlapet,,,,,,,,,,,,,
310,UTTARAKHAND,DEHRADUN,"""RISHIKESH D/S""",,,,,,,,,,,,,
311,"""ARUNACHAL PRADESH""","""UPPER SUBANSIRI""",Lemeking,,7.85,,,,86.5,97.4585,1,,,,,
312,BIHAR,MADHUBANI,Jhanjharpur,,8.245,,,2.342,226.083333333333,192.59025,27.4166666666667,,4.16666666666667,,,
313,KERALA,KOTTAYAM,KIDANGOOR,,6.76,,6.36666666666667,0.803333333333333,33.5,20.6458166666667,7.85,0.012,0.666666666666667,1600,2.38,0.14525
314,ASSAM,LAKHIMPUR,Chouldhowaghat,,7.885,,8.325,,80.75,82.73755,4.8125,,1.2025,,,
315,CHHATTISGARH,BASTAR,Jagdalpur,21.4088888888889,7.78888888888889,,6.7,0.822222222222222,107.555555555556,104.101777777778,6.28888888888889,0,9.07777777777778,7728.88888888889,2.06,0.132222222222222
316,RAJASTHAN,TONK,Tonk,,,,,,,,,,,,,
317,ASSAM,SONITPUR,"""NT Road Crossing JiaBharali""",,7.345,,8.2,,66.75,76.0853875,5.5,,1.2375,,,
318,TAMILNADU,THENI,Ambasamudram,,7.96,,10,1.7,,71.9292,11.61,,7.88,,,0.2675
319,ASSAM,GOLAGHAT,Golaghat,,7.40875,,8.075,,96.25,98.756375,6.625,,1.1975,,,
320,GUJARAT,SURAT,MOTINAROLI,3.33333333333333,8.15,,6.19090909090909,1.88833333333333,617.083333333333,117.652833333333,95.3333333333333,0.09,13.0083333333333,3250,,0.198333333333333
321,"""MADHYA PRADESH""",CHHATARPUR,GARRAULI,,8.2725,,,,,143.545325,18.6375,0.05865,5.16,,,0.39425
322,ASSAM,SIVASAGAR,Sivasagar,,7.4075,,8.125,,99.875,114.232375,19.5625,,1.1875,,,
323,TAMILNADU,KARUR,MUSIRI,,8.042,,6.68,2.34,276,149.89906,45.35,,21.134,,1.8,0.3214
324,MAHARASHTRA,PUNE,Sarati,,7.68,,,0.8,,163.1225,32.13,0.015156285,66.4,62500,2.19,0.339
325,"""UTTAR PRADESH""",GHAZIPUR,"""Ghazipur (Jamalpur Bridge)""",,,,,,,,,,,,,
326,TAMILNADU,NAMAKKAL,KODUMUDI,,8.08636363636364,,6.38181818181818,3.35454545454545,286.25,153.196118181818,61.2409090909091,,21.5954545454545,,2.73,0.342818181818182
327,TAMILNADU,COIMBATORE,AMBARAMPALAYAM,,7.65333333333333,,6.9,1.34166666666667,97.2,79.6583,16.1341666666667,,4.27666666666667,,3.195,0.2725
328,"""MADHYA PRADESH""",SAGAR,Natunhat,,,,,,,,,,,,,
329,MAHARASHTRA,PARBHANI,Purrna,18.4033333333333,7.86666666666667,,5.31666666666667,1.5,277,186.527666666667,20.25,6.66666666666667E-05,26.48,10870,2.79756666666667,0.566
330,"""ARUNACHAL PRADESH""","""EAST KAMENG""",Seppa,,7.325,,,,103.625,61.8541,15.475,,1.1975,,,
331,MAHARASHTRA,SOLAPUR,Takli,,7.64,,,0.95,,136.73035,28.335,0.0040091,56.2,2615,,0.365
332,MEGHALAYA,"""RI BHOI""",BYRNIHAT,,,,,,,,,,,,,
333,ASSAM,CACHAR,DHOLAI,,6.89083333333333,,,,67.25,75.2479083333333,10.5,,1.2025,,,
334,"""MADHYA PRADESH""",MANDLA,Manot,60.5916666666667,8.10333333333333,,6.575,0.891666666666667,130.583333333333,114.417441666667,8.75833333333333,0.05,6.31333333333333,,,0.187833333333333
335,KERALA,KASARAGOD,ERINJIPUZHA,,6.734,,6.142,0.592,32.8,20.975,6.96,0.026,0.9,1241.5,3.32,0.14714
336,ASSAM,"""KARBI ANGLONG""",Bokajan,,7.47875,,,,87,93.206325,6,,1.23,,,
337,ODISHA,SUNDARGARH,Gomlai,,7.80166666666667,,7.26416666666667,0.681666666666667,,63.6458416666667,16.25,0.00345,16.0083333333333,,,0.05
338,KARNATAKA,BIDAR,Saigaon,2.315,8.1,,6.275,2.025,321.5,230.70825,36.225,0,35.725,9025,3.69,0.4275
339,BIHAR,PATNA,Hathidah,,,,,,,,,,,,,
340,MAHARASHTRA,NANDED,Betmogra,,,,,,,,,,,,,
341,TELANGANA,ADILABAD,Bhatpalli,1.88333333333333,8.28333333333334,,7.21666666666667,2.3,,247.390833333333,28.9325,0.026591666666667,14.8158333333333,27062.5,3.69333333333333,0.710666666666667
342,MAHARASHTRA,SANGLI,"""Samdoli (Seasonal)""",,,,,,,,,,,,,
343,"""UTTAR PRADESH""",HAMIRPUR,SHAHIJINA,,8.2125,,,,,144.120291666667,18.6966666666667,0.03335,7.76,,,0.43225
344,KARNATAKA,UDUPI,HALADI,,6.67833333333333,,6.65666666666667,0.808333333333333,,10.0541666666667,3.78666666666667,0.0023,1.848,,2.855,0.069666666666667
345,TRIPURA,"""NORTH TRIPURA""",Kailashahar,,,,,,,,,,,,,
346,"""MADHYA PRADESH""",DATIA,SEONDHA,,8.3675,,,,,161.100583333333,23.6075,0.0345,9.32,,,0.986416666666666
347,TAMILNADU,KARUR,NALLAMARANPATTY,,7.95,,8.8,4.3,,94.9917,20.15,,14.29,,,0.322
348,"""ANDHRA PRADESH""",KRISHNA,"""Paleru Bridge""",2.86888888888889,7.83333333333333,,5.22222222222222,1.4,475.555555555556,252.342555555556,70.0111111111111,0,54.3333333333333,3612.22222222222,0.605,0.934444444444444
349,UTTARAKHAND,GARHWAL,"""SATPULI D/S""",,,,,,,,,,,,,
350,ASSAM,SONITPUR,Tezpur,,7.6425,,,,73.5,81.103225,7.5,,1.1825,,,
351,ASSAM,DIBRUGARH,Dillighat,,7.375,,,,83.5,88.430075,6.3125,,1.165,,,
352,KARNATAKA,"""UTTARA KANNADA""",SANTEGULI,,6.77666666666667,,,,,18.4333333333333,5.97583333333333,0.023,2.472,,4.515,0.0665
353,"""ANDHRA PRADESH""",GUNTUR,Wadenepally,2.6675,8.15,,6.50833333333333,0.983333333333333,366,157.090358333333,54.1333333333333,0,60.55,1970.83333333333,3.1096,0.5775
354,ASSAM,SONITPUR,Bhalukpong,,7.29125,,,,49.25,77.1341625,10.875,,1.205,,,
355,ASSAM,NALBARI,"""Pagladiya N T Road Crossing""",7.13,7.16,,,,137.5,150.496,11,0,1.205,,,
356,"""UTTAR PRADESH""",VARANASI,Baluaghat,,,,,,,,,,,,,
357,MAHARASHTRA,AHMADNAGAR,Kopergaon,,,,,,,,,,,,,
358,GUJARAT,RAJKOT,Ganod,19.4,8.518,,8.46,1.92,647.2,275.8766,212,0.066,21.308,146337,,0.776
359,KERALA,KOLLAM,PATTAZHY,,6.8,,6.36666666666667,0.638333333333333,29.5,18.1736166666667,7.71666666666667,0.0165,0.916666666666667,1180,3.165,0.190166666666667
360,TAMILNADU,NAGAPPATTINAM,Gopurajapuram,,7.53,,,1.64,106,83.7833,25.52,,8.17,,,0.29
361,"""UTTAR PRADESH""",LALITPUR,RAJGHAT,,8.35,,,,,135.6849,16.5370833333333,0.0368,5.8,,,0.28975
362,MAHARASHTRA,CHANDRAPUR,"""Bamni (Balharsha)""",4.175,8.1825,,5.73333333333333,9.45833333333333,,265.910416666667,49.3741666666667,0.097641666666667,27.4641666666667,30508.3333333333,2.02666666666667,0.588583333333333
